contract_size,ua_tse_code,ua_ticker,ua_close_price,ua_yesterday_price,begin_date,end_date,strike_price,days_to_maturity,tse_code,last_price,open_positions,close_price,yesterday_price,notional_value,trades_value,trades_volume,trades_num,name,ticker,bid_price,bid_volume,ask_price,ask_volume,yesterday_open_positions,option_type
1000,35366681030756042,شبندر,11120,10710,20240101,20240508,10000,51,4162258544073761,1,0,1,1,0.0,0.0,0,0,اختيارخ شبندر-10000-1403/02/19,ضبدر2052,0,0,0,0,0,call
1418,51617145873056483,شتران,3228,3183,20231216,20240417,4583,30,13099421899309951,1,0,1,1,0.0,0.0,0,0,اختيارخ شتران-4583-1403/01/29,ضترا0109,0,0,0,0,0,call
10,64942549055019553,سرو,140630,137350,20231106,20240529,100000,72,6276523618478054,47500,4892,47500,42010,154143000.0,52250000.0,110,1,اختيارخ سرو-100000-1403/03/09,ضسرو0303,40000,250,46750,110,4892,call
10,64942549055019553,سرو,140630,137350,20231106,20240529,120000,72,23628030459637463,1,0,1,1,0.0,0.0,0,0,اختيارخ سرو-120000-1403/03/09,ضسرو0305,15555,11,0,0,0,call
1000,64216772923447100,شتاب,10770,10410,20231030,20240424,12000,37,31758909391119826,350,43869,219,151,5601060000.0,114236000.0,522,6,اختيارخ شتاب-12000-1403/02/05,ضتاب0208,231,5,340,20,43368,call
1000,37828981835497620,پتروآگاه,12210,12050,20240224,20240508,18000,51,55784955420925051,1,0,1,1,0.0,0.0,0,0,اختيارخ ص آگاه-18000-03/02/19,ضترو2010,0,0,0,0,0,call
1000,17914401175772326,اهرم,21900,21300,20231204,20240515,28000,58,40244535332230442,1,0,1,1,0.0,0.0,0,0,اختيارخ اهرم-28000-1403/02/26,ضهرم2010,10,500,0,0,0,call
1000,17914401175772326,اهرم,21900,21300,20231204,20240612,18000,86,38535264222583400,6000,85032,5428,5178,131537010000.0,32613950000.0,6009,215,اختيارخ اهرم-18000-1403/03/23,ضهرم3005,5900,13,5998,50,81511,call
1000,17914401175772326,اهرم,21900,21300,20240316,20240717,16000,121,64737211265391569,1,0,1,1,0.0,0.0,0,0,اختيارخ اهرم-16000-1403/04/27,ضهرم4002,7000,1,0,0,0,call
1000,778253364357513,وبملت,2386,2289,20240217,20240612,1700,86,57660938418844583,1,0,1,1,0.0,0.0,0,0,اختيارخ وبملت-1700-1403/03/23,ضملت3033,655,4,0,0,0,call
1000,28320293733348826,وبصادر,2028,2028,20240203,20240612,1600,86,22635311184470957,899,4475,899,899,0.0,0.0,0,0,اختيارخ وبصادر-1600-1403/03/23,ضصاد3039,250,15,768,20,4475,call
1000,28864540805361867,فخوز,3876,3848,20240108,20240428,5500,41,23851311320800676,15,2641,15,15,0.0,0.0,0,0,اختيارخ فخوز-5500-1403/02/09,ضخوز2051,1,510,8,30,2641,call
1000,28864540805361867,فخوز,3876,3848,20240227,20240626,5000,100,27311512360890411,25,10,25,25,0.0,0.0,0,0,اختيارخ فخوز-5000-1403/04/06,ضخوز4008,0,0,350,1000,10,call
1000,48990026850202503,خگستر,5130,5040,20240224,20240717,6000,121,14462111370713488,1,0,1,1,0.0,0.0,0,0,اختيارخ خگستر-6000-1403/04/27,ضستر4008,1,2000,0,0,0,call
2000,43362635835198978,هاي وب,968,968,20240103,20240407,1100,20,62154133350101678,99,7472,99,99,0.0,0.0,0,0,اختيارخ هاي وب-1100-1403/01/19,ضهاي0106,0,0,0,0,7472,call
1000,65883838195688438,خودرو,3229,3179,20240224,20240626,1900,100,30419338890724336,780,500,780,780,0.0,0.0,0,0,اختيارخ خودرو-1900-1403/04/06,ضخود4036,0,0,0,0,500,call
10,67675656072510693,پالايش,149220,145210,20240302,20240428,200000,41,15223035653955287,1,0,1,1,0.0,0.0,0,0,اختيارخ پالايش-200000-03/02/09,ضپلا2010,0,0,0,0,0,call
1418,51617145873056483,شتران,3228,3183,20231216,20240417,2468,30,54234231618815370,1,0,1,1,0.0,0.0,0,0,اختيارخ شتران-2468-1403/01/29,ضترا0102,501,28,0,0,0,call
1000,17914401175772326,اهرم,21900,21300,20240316,20240717,14000,121,15974284144446671,9400,1000,9400,1,21510000000.0,9400000000.0,1000,2,اختيارخ اهرم-14000-1403/04/27,ضهرم4000,9500,1,0,0,0,call
1000,778253364357513,وبملت,2386,2289,20240217,20240612,1800,86,35361441336098270,650,25017,650,650,0.0,0.0,0,0,اختيارخ وبملت-1800-1403/03/23,ضملت3034,601,4,949,30,25017,call
10,62235397452612911,دارا يكم,175670,172760,20240311,20240501,260000,44,35376431966680758,1,0,1,1,0.0,0.0,0,0,اختيارخ ص.دارا-260000-03/02/12,ضدار2010,0,0,0,0,0,call
1000,70541934393301867,سلام,16390,16090,20231213,20240602,11000,76,44638770883015239,6110,12020,6118,6118,0.0,0.0,0,0,اختيارخ سلام-11000-1403/03/13,ضسلا3000,1700,10,0,0,12020,call
1000,46348559193224090,فولاد,4976,4826,20240305,20240619,3750,93,51180409143145558,1,0,1,1,0.0,0.0,0,0,اختيارخ فولاد-3750-1403/03/30,ضفلا3032,0,0,0,0,0,call
2000,43362635835198978,هاي وب,968,968,20240103,20240407,1500,20,716828809076827,1,0,1,1,0.0,0.0,0,0,اختيارخ هاي وب-1500-1403/01/19,ضهاي0110,0,0,0,0,0,call
1300,35425587644337450,فملي,6840,6560,20240123,20240602,4231,76,24402488461387059,1,0,1,1,0.0,0.0,0,0,اختيارخ فملي-4231-1403/03/13,ضملي3032,0,0,0,0,0,call
1000,2400322364771558,شستا,1187,1162,20240203,20240529,1100,72,39138849698283308,180,227345,175,157,10871733000.0,1618761000.0,9229,89,اختيارخ شستا-1100-1403/03/09,ضستا3016,179,1193,180,5633,227217,call
1000,17914401175772326,اهرم,21900,21300,20240316,20240717,20000,121,65456695783774147,4800,455,4717,4200,6655500000.0,1443500000.0,306,10,اختيارخ اهرم-20000-1403/04/27,ضهرم4004,4771,10,5149,1,149,call
1000,17914401175772326,اهرم,21900,21300,20240316,20240717,28000,121,46775778425234887,1,0,1,1,0.0,0.0,0,0,اختيارخ اهرم-28000-1403/04/27,ضهرم4008,50,7,0,0,0,call
1000,26824673819862694,خبهمن,1915,1894,20240109,20240417,2000,30,4426705415424883,70,5526,70,70,5730000.0,210000.0,3,1,اختيارخ خبهمن-2000-1403/01/29,ضهمن0106,61,5,80,1000,5526,call
1000,26824673819862694,خبهمن,1915,1894,20240109,20240417,2800,30,63378025441268379,1,0,1,1,0.0,0.0,0,0,اختيارخ خبهمن-2800-1403/01/29,ضهمن0110,0,0,0,0,0,call
2011,778253364357513,وبملت,2386,2289,20231223,20240417,1492,30,42051389657513077,612,26944,612,612,0.0,0.0,0,0,اختيارخ وبملت-1492-1403/01/29,ضملت0100,911,4,1040,37,26944,call
2011,778253364357513,وبملت,2386,2289,20231223,20240417,3480,30,22450171605379964,1,22230,1,1,0.0,0.0,0,0,اختيارخ وبملت-3480-1403/01/29,ضملت0110,0,0,15,3900,22230,call
1000,28864540805361867,فخوز,3876,3848,20240108,20240428,2800,41,29245888752703199,1166,17000,1166,1166,0.0,0.0,0,0,اختيارخ فخوز-2800-1403/02/09,ضخوز2043,0,0,0,0,17000,call
1000,48990026850202503,خگستر,5130,5040,20231225,20240421,3250,34,46893350194726766,1,0,1,1,0.0,0.0,0,0,اختيارخ خگستر-3250-1403/02/02,ضستر2016,0,0,0,0,0,call
1000,48990026850202503,خگستر,5130,5040,20240224,20240717,5500,121,27782088701101167,1,0,1,1,0.0,0.0,0,0,اختيارخ خگستر-5500-1403/04/27,ضستر4007,1,2000,0,0,0,call
2000,43362635835198978,هاي وب,968,968,20240103,20240407,750,20,43120027017831043,1,0,1,1,0.0,0.0,0,0,اختيارخ هاي وب-750-1403/01/19,ضهاي0100,1,1000,0,0,0,call
2000,43362635835198978,هاي وب,968,968,20240103,20240407,900,20,35406427960012057,10,150,10,10,0.0,0.0,0,0,اختيارخ هاي وب-900-1403/01/19,ضهاي0103,1,1000,0,0,150,call
2000,43362635835198978,هاي وب,968,968,20240205,20240619,1200,93,19310054720617853,1,0,1,1,0.0,0.0,0,0,اختيارخ هاي وب-1200-1403/03/30,ضهاي3020,0,0,0,0,0,call
1000,65883838195688438,خودرو,3229,3179,20231028,20240327,3000,9,44763857590628604,240,430624,240,205,168898644000.0,12539895000.0,52323,161,اختيارخ خودرو-3000-1403/01/08,ضخود0121,187,1000,240,1,456402,call
1000,37828981835497620,پتروآگاه,12210,12050,20240224,20240508,7500,51,13376891411446485,4699,152,4524,4524,0.0,0.0,0,0,اختيارخ ص آگاه-7500-03/02/19,ضترو2000,4601,1,0,0,152,call
1000,17914401175772326,اهرم,21900,21300,20231204,20240612,16000,86,65868296842369091,7878,189,7878,5000,1684800000.0,614484000.0,78,1,اختيارخ اهرم-16000-1403/03/23,ضهرم3004,7293,1,0,0,111,call
1000,42799209630949274,بهين رو,11130,11080,20231115,20240619,13000,93,11599462080218313,680,17778,501,358,862680000.0,39108000.0,78,5,اختيارخ بهين رو-13000-03/03/30,ضهين0307,260,100,660,3,17778,call
1000,778253364357513,وبملت,2386,2289,20240217,20240612,1900,86,23560357715597797,520,4578,520,520,0.0,0.0,0,0,اختيارخ وبملت-1900-1403/03/23,ضملت3035,455,4,0,0,4578,call
1105,28320293733348826,وبصادر,2028,2028,20231204,20240414,1629,27,33174596635495658,1,0,1,1,0.0,0.0,0,0,اختيارخ وبصادر-1629-1403/01/26,ضصاد0104,0,0,0,0,0,call
1000,28864540805361867,فخوز,3876,3848,20240227,20240626,2800,100,35246391596992036,1,0,1,1,0.0,0.0,0,0,اختيارخ فخوز-2800-1403/04/06,ضخوز4001,0,0,0,0,0,call
2000,43362635835198978,هاي وب,968,968,20240103,20240407,1000,20,35121589214561694,99,29642,99,99,0.0,0.0,0,0,اختيارخ هاي وب-1000-1403/01/19,ضهاي0105,1,1000,0,0,29642,call
2000,43362635835198978,هاي وب,968,968,20240205,20240619,800,93,24291425720545710,1,0,1,1,0.0,0.0,0,0,اختيارخ هاي وب-800-1403/03/30,ضهاي3014,1,1000,0,0,0,call
2000,43362635835198978,هاي وب,968,968,20240205,20240619,900,93,5466122015441091,1,0,1,1,0.0,0.0,0,0,اختيارخ هاي وب-900-1403/03/30,ضهاي3016,1,1000,0,0,0,call
2000,43362635835198978,هاي وب,968,968,20240205,20240619,1300,93,51457373949984642,1,0,1,1,0.0,0.0,0,0,اختيارخ هاي وب-1300-1403/03/30,ضهاي3021,0,0,0,0,0,call
1000,65883838195688438,خودرو,3229,3179,20240203,20240529,1800,72,108143145688559,830,500,830,830,0.0,0.0,0,0,اختيارخ خودرو-1800-1403/03/09,ضخود3077,0,0,0,0,500,call
1000,35366681030756042,شبندر,11120,10710,20240302,20240626,7500,100,48935576946161347,1,0,1,1,0.0,0.0,0,0,اختيارخ شبندر-7500-1403/04/06,ضبدر4003,1,1000,0,0,0,call
1418,51617145873056483,شتران,3228,3183,20231216,20240417,4936,30,28854679038358425,5,384,7,7,0.0,0.0,0,0,اختيارخ شتران-4936-1403/01/29,ضترا0110,0,0,14,100,384,call
1000,17914401175772326,اهرم,21900,21300,20231204,20240410,20000,23,1570476669273623,2780,5790,2473,2015,27703500000.0,3128773000.0,1265,96,اختيارخ اهرم-20000-1403/01/22,ضهرم0106,2571,2,2780,4,5921,call
1000,42799209630949274,بهين رو,11130,11080,20231115,20240619,7000,93,67195041913701043,5280,11086,5267,5220,4132840000.0,1964497000.0,373,5,اختيارخ بهين رو-7000-03/03/30,ضهين0300,4698,1,5280,5,10713,call
1000,42799209630949274,بهين رو,11130,11080,20231115,20240619,11000,93,35779839290235811,1700,5550,1685,1788,2214000000.0,337000000.0,200,2,اختيارخ بهين رو-11000-03/03/30,ضهين0305,1011,100,1730,100,5350,call
1000,34557241988629814,بركت,5670,5580,20240108,20240421,7500,34,42470483122618916,2,1219,2,2,0.0,0.0,0,0,اختيارخ بركت-7500-1403/02/02,ضبرك2006,0,0,360,200,1219,call
1000,34557241988629814,بركت,5670,5580,20240227,20240710,4500,114,9745467717951797,1,0,1,1,0.0,0.0,0,0,اختيارخ بركت-4500-1403/04/20,ضبرك4003,1,1000,3735,200,0,call
1000,28320293733348826,وبصادر,2028,2028,20240203,20240612,2200,86,60733686614957840,151,1074,150,130,204626000.0,15152000.0,101,3,اختيارخ وبصادر-2200-1403/03/23,ضصاد3044,150,234,350,500,1073,call
1000,28864540805361867,فخوز,3876,3848,20240227,20240626,2600,100,47061880717060230,1,0,1,1,0.0,0.0,0,0,اختيارخ فخوز-2600-1403/04/06,ضخوز4000,0,0,0,0,0,call
1350,46348559193224090,فولاد,4976,4826,20231223,20240414,4444,27,50020322879683407,660,1084,659,493,349104600.0,46268550.0,52,2,اختيارخ فولاد-4444-1403/01/26,ضفلا0104,460,2,750,47,1084,call
2000,43362635835198978,هاي وب,968,968,20240205,20240619,1100,93,58282014596483729,1,0,1,1,0.0,0.0,0,0,اختيارخ هاي وب-1100-1403/03/30,ضهاي3019,0,0,0,0,0,call
1000,65883838195688438,خودرو,3229,3179,20231028,20240327,2600,9,33866482373817789,606,429615,608,584,43833012000.0,8251977000.0,13579,81,اختيارخ خودرو-2600-1403/01/08,ضخود0119,501,10,609,15,430327,call
1000,69143674941561637,پترول,1945,1916,20240227,20240717,1600,121,9766837407099252,1,0,1,1,0.0,0.0,0,0,اختيارخ پترول-1600-1403/04/27,ضرول4003,0,0,0,0,0,call
1300,35425587644337450,فملي,6840,6560,20240123,20240602,7692,76,39522959658726505,1,0,1,1,0.0,0.0,0,0,اختيارخ فملي-7692-1403/03/13,ضملي3039,0,0,0,0,0,call
1634,7745894403636165,شپنا,5660,5470,20231225,20240428,4895,41,36463657626958252,800,18004,736,736,0.0,0.0,0,0,اختيارخ شپنا-4895-1403/02/09,ضشنا2038,0,0,1500,18,18004,call
1105,28320293733348826,وبصادر,2028,2028,20231204,20240414,1267,27,15404908910565297,881,60,881,455,20337525.0,8761545.0,9,1,اختيارخ وبصادر-1267-1403/01/26,ضصاد0100,750,10,955,1,51,call
1105,28320293733348826,وبصادر,2028,2028,20231204,20240414,2353,27,62695857933923179,20,544,20,20,0.0,0.0,0,0,اختيارخ وبصادر-2353-1403/01/26,ضصاد0109,0,0,20,1000,544,call
1500,63917421733088077,وتجارت,1519,1492,20240106,20240508,2000,51,65830303750334628,11,9914,11,11,15949500.0,115500.0,7,3,اختيارخ وتجارت-2000-1403/02/19,ضجار2041,11,1,12,1000,9914,call
1000,65883838195688438,خودرو,3229,3179,20231028,20240327,2000,9,61634420099849862,1120,4344,1119,1119,0.0,0.0,0,0,اختيارخ خودرو-2000-1403/01/08,ضخود0116,0,0,0,0,4344,call
1000,69143674941561637,پترول,1945,1916,20240227,20240717,1300,121,20519148950867790,1,0,1,1,0.0,0.0,0,0,اختيارخ پترول-1300-1403/04/27,ضرول4000,0,0,0,0,0,call
1000,7745894403636165,شپنا,5660,5470,20240303,20240703,6500,107,12077506076959361,1,0,1,1,0.0,0.0,0,0,اختيارخ شپنا-6500-1403/04/13,ضشنا4009,1,1000,0,0,0,call
10,64942549055019553,سرو,140630,137350,20231106,20240529,150000,72,68592351649278352,1,0,1,1,0.0,0.0,0,0,اختيارخ سرو-150000-1403/03/09,ضسرو0308,0,0,0,0,0,call
1000,44891482026867833,خساپا,2660,2640,20240107,20240515,2000,58,71919633421041687,839,34875,786,597,12108320000.0,3579718000.0,4552,231,اختيارخ خساپا-2000-1403/02/26,ضسپا2003,812,1,848,1,34143,call
1428,2589887561569709,خزاميا,4473,4323,20240103,20240414,5253,27,49185907478848780,1,0,1,1,0.0,0.0,0,0,اختيارخ خزاميا-5253-03/01/26,ضميا0107,0,0,0,0,0,call
9425,71483646978964608,ذوب,472,472,20231204,20240407,297,20,40188751948805919,1580,12,1610,1610,0.0,0.0,0,0,اختيارخ ذوب-297-1403/01/19,ضذوب0100,0,0,0,0,12,call
