contract_size,ua_tse_code,ua_ticker,ua_close_price,ua_yesterday_price,begin_date,end_date,strike_price,days_to_maturity,tse_code,last_price,open_positions,close_price,yesterday_price,notional_value,trades_value,trades_volume,trades_num,name,ticker,bid_price,bid_volume,ask_price,ask_volume,yesterday_open_positions,option_type
1000,25211433301660888,خپارس,699,712,20240814,20241229,450,51,39996075528315604,290,515,290,290,0.0,0.0,0,0,اختيارخ خپارس-450-14031009,ضخپارس1000,25,120,330,100,515,call
1000,25211433301660888,خپارس,699,712,20241015,20250202,1000,86,45206292897228692,1,0,1,1,0.0,0.0,0,0,اختيارخ خپارس-1000-14031114,ضخپارس1108,1,100,0,0,0,call
1000,25211433301660888,خپارس,699,712,20241015,20250202,1200,86,57778262806404690,1,0,1,1,0.0,0.0,0,0,اختيارخ خپارس-1200-14031114,ضخپارس1110,1,100,0,0,0,call
1000,53059909885484371,رويين,10073,10135,20240713,20250119,12000,72,49551428574128329,111,4,111,111,0.0,0.0,0,0,اختيارخ رويين-12000-14031030,ضرويين1006,33,1,0,0,4,call
1000,66682662312253625,آساس,37773,38463,20240727,20250316,34000,128,39940334165866575,7400,5900,7400,7900,831006000.0,162800000.0,22,1,اختيارخ آساس-34000-14031226,ضاساس1201,1600,50,8600,125,5900,call
1000,66682662312253625,آساس,37773,38463,20240824,20250316,28000,128,8147065608809104,13475,28631,13475,13475,0.0,0.0,0,0,اختيارخ آساس-28000-14031226,ضاساس1208,101,40,13900,125,28631,call
1000,69067576215760005,كاريس,23822,23785,20240731,20241201,34000,23,7334488138231783,1,0,1,1,0.0,0.0,0,0,اختيارخ كاريس-34000-14030911,ضكاريس915,1,100,0,0,0,call
1000,23557166059925779,فصبا,3468,3475,20240819,20250202,3800,86,30143947520954254,148,11760,148,148,0.0,0.0,0,0,اختيارخ فصبا-3800-14031114,ضفصبا1120,1,1000,0,0,11760,call
1000,41927452991671109,توان,15296,15346,20240925,20250309,13000,121,51445928487089385,3800,4994,3721,3647,1223680000.0,297700000.0,80,3,اختيارخ توان-13000-14031219,ضتوان1211,3691,20,4090,100,4994,call
1000,22275596386264204,كوثر,1558,1580,20241016,20250209,1500,93,41447109317576211,1,0,1,1,0.0,0.0,0,0,اختيارخ كوثر-1500-14031121,ضكوثر1113,1,61,0,0,0,call
1000,22275596386264204,كوثر,1558,1580,20241016,20250209,1900,93,45124774522356133,1,0,1,1,0.0,0.0,0,0,اختيارخ كوثر-1900-14031121,ضكوثر1117,1,100,0,0,0,call
1000,50792786683910016,كرمان,809,788,20240630,20241110,900,2,18989802015045525,3,1838,3,3,0.0,0.0,0,0,اختيارخ كرمان-900-14030820,ضكرمان803,0,0,0,0,1838,call
1000,67141987086032267,موج,11745,11745,20240818,20241117,6000,9,70344223605670988,1,0,1,1,0.0,0.0,0,0,اختيارخ موج-6000-14030827,ضموج811,1,50,0,0,0,call
1000,67141987086032267,موج,11745,11745,20241028,20250309,8000,121,63973950706206826,1,0,1,1,0.0,0.0,0,0,اختيارخ موج-8000-14031219,ضموج1201,11,40,0,0,0,call
1000,25211433301660888,خپارس,699,712,20240814,20241229,900,51,54155185899026609,1,0,1,1,0.0,0.0,0,0,اختيارخ خپارس-900-14031009,ضخپارس1009,1,100,0,0,0,call
1000,53059909885484371,رويين,10073,10135,20240713,20241117,9500,9,15080193718180487,1,0,1,1,0.0,0.0,0,0,اختيارخ رويين-9500-14030827,ضرويين803,369,33,0,0,0,call
1000,53059909885484371,رويين,10073,10135,20240713,20241117,14000,9,26926508902384256,1,0,1,1,0.0,0.0,0,0,اختيارخ رويين-14000-14030827,ضرويين808,1,100,0,0,0,call
1000,11427939669935844,اطلس,43062,43659,20240930,20241222,40000,44,51242705087615367,5001,332,4939,4583,1377984000.0,158054000.0,32,6,اختيارخ اطلس-40000-14031002,ضاطلس1003,4700,10,5050,35,332,call
1000,23557166059925779,فصبا,3468,3475,20240819,20241208,3200,30,58511757217415506,700,6006,700,700,0.0,0.0,0,0,اختيارخ فصبا-3200-14030918,ضفصبا906,10,300,0,0,6006,call
1000,66682662312253625,آساس,37773,38463,20240527,20250119,45000,72,29763673956849795,590,2520,620,620,0.0,0.0,0,0,اختيارخ آساس-45000-14031030,ضاساس1005,1,1000,0,0,2520,call
1000,66682662312253625,آساس,37773,38463,20240727,20250316,50000,128,71735299190391818,1,0,1,1,0.0,0.0,0,0,اختيارخ آساس-50000-14031226,ضاساس1206,2,50,0,0,0,call
1000,41927452991671109,توان,15296,15346,20240925,20250309,11000,121,35466737432748098,5550,11452,5381,5408,2768576000.0,973951000.0,181,9,اختيارخ توان-11000-14031219,ضتوان1209,5501,20,5600,21,11452,call
1000,66682662312253625,آساس,37773,38463,20240824,20250316,30000,128,59422917435216376,11700,2542,11700,11700,0.0,0.0,0,0,اختيارخ آساس-30000-14031226,ضاساس1209,101,40,12000,125,2542,call
1000,41927452991671109,توان,15296,15346,20240925,20250309,14000,121,23373870844499680,2999,31866,2775,2859,8305728000.0,1506844000.0,543,31,اختيارخ توان-14000-14031219,ضتوان1212,2900,5,3000,100,31866,call
1000,66416853783916493,دي,623,641,20241008,20241124,700,16,55601225017785234,1,0,1,1,0.0,0.0,0,0,اختيارخ دي-700-14030904,ضدي907,1,1000,0,0,0,call
1000,41625340598198551,بساما,13410,13280,20240804,20250223,8500,107,10838522570008430,2890,12030,2890,2890,0.0,0.0,0,0,اختيارخ بساما-8500-14031205,ضبساما1200,2888,2,6026,54,12030,call
1000,49270349234092953,خاور,1295,1334,20241012,20250309,1100,121,14585677747847519,1,0,1,1,0.0,0.0,0,0,اختيارخ خاور-1100-14031219,ضخاور1201,10,300,0,0,0,call
1000,67141987086032267,موج,11745,11745,20241028,20250105,7500,58,29548074778657839,1,0,1,1,0.0,0.0,0,0,اختيارخ موج-7500-14031016,ضموج1000,70,100,0,0,0,call
1000,25211433301660888,خپارس,699,712,20240814,20241229,500,51,12868498897087886,300,20,300,300,0.0,0.0,0,0,اختيارخ خپارس-500-14031009,ضخپارس1001,10,300,0,0,20,call
